id,name,image,price,release_date,lte_exists,description
1,Samsung Galaxy Edge 2,https://avatars.mds.yandex.net/get-mpic/364668/img_id5636027222104023144.jpeg/orig,73000,2016-12-12,True,Флагманский смартфон с изогнутым дисплеем Edge, 4 ГБ ОЗУ и мощным аккумулятором. Отличная камера для съемки в условиях низкой освещенности.
2,Iphone X,https://avatars.mds.yandex.net/get-mpic/200316/img_id270362589725797013.png/orig,80000,2017-06-01,True,Первый iPhone с OLED-дисплеем и системой Face ID. Безрамочный дизайн и стеклянная задняя панель поддерживают беспроводную зарядку.
3,Nokia 8,https://avatars.mds.yandex.net/get-mpic/397397/img_id6752445806321208103.jpeg/orig,20000,2013-01-20,False,Классический надежный смартфон от Nokia с чистым Android, алюминиевым корпусом и двойной камерой Carl Zeiss.
4,Google Pixel 7 Pro,https://avatars.mds.yandex.net/get-mpic/1901647/2a000001938d25ed2486858d8f9bfb4f17d1/orig,89990,2022-10-13,True,Флагман Google с собственным процессором Tensor G2, отличной вычислительной фотографией и чистой версией Android 13.
5,Xiaomi Mi 11 Ultra,https://hi-stores.ru/upload/iblock/df9/in68r8pzwhyozgsyajpaibospnpcxn1d.jpg,74999,2021-04-07,True,Ультра-флагман с дополнительным дисплеем на задней панели, главной камерой 50 МП и быстрой зарядкой 67 Вт.
6,OnePlus 10 Pro,https://avatars.mds.yandex.net/get-mpic/15106342/2a000001962e3ce9bfd2532093602436bfd9/orig,69990,2022-01-11,True,Скоростной флагман с дисплеем 120 Гц, быстрой зарядкой 80 Вт и фирменной оболочкой OxygenOS 12.
7,Sony Xperia 1 IV,https://main-cdn.sbermegamarket.ru/big1/hlr-system/-20/833/483/768/413/15/100033353172b0.jpg,94990,2022-06-22,True,Смартфон для создания контента с 4K OLED 120 Гц дисплеем, зум-объективом 85-125 мм и профессиональными настройками камеры.
8,Huawei P50 Pro,https://2cent.ru/storage/photo/resized/xy_1500x1500/b/02amsgicjvwggj4_d13128c8.webp.webp,79990,2021-08-12,False,Китайский флагман без сервисов Google, с уникальной камерой XD Fusion Pro и дисплеем с частотой 120 Гц.
9,Samsung Galaxy A54,https://avatars.mds.yandex.net/get-mpic/11487459/2a000001930c71ad9df51eed87fac2cf3edb/orig,35990,2023-03-15,True,Отличный среднебюджетник с AMOLED 120 Гц, защитой IP67 и 4 годами обновлений Android.
10,Realme GT 2 Pro,https://avatars.mds.yandex.net/i?id=141a022ac30f3aebe624b517fc19b1ca50558437-5234848-images-thumbs&n=13,49990,2022-02-28,True,Доступный флагман с бумажным дизайном, Snapdragon 8 Gen 1 и 150° сверхширокоугольной камерой.
11,Motorola Edge 30 Ultra,https://example.com/images/motorola_edge30.jpg,64990,2022-09-08,True,Стильный смартфон с 144 Гц дисплеем, основной камерой 200 МП и чистым Android.
